,Driver,WetPerformanceScore
0,ALB,0.9781196742553613
1,ALO,0.9726550458418566
2,BOT,0.9820520185624119
3,GAS,0.9788322858996319
4,HAM,0.9764635380650407
5,LEC,0.9758615127847953
6,MAG,0.9899833852539965
7,NOR,0.9781792522845641
8,OCO,0.9818096070946097
9,PER,0.9989037189981075
10,RUS,0.9686781883493351
11,SAI,0.978753707146254
12,STR,0.979857487458288
13,TSU,0.9963379482640917
14,VER,0.9751962941368861
15,ZHO,0.9877740525451538
